date,count_all,count_nullID
2017-09-24,665700,6222
2017-09-25,826024,22945
2017-09-26,23947,349
2017-10-01,191820,1307
2017-10-05,1309644,20838
2017-10-06,1323718,22926
2017-10-07,1575767,25594
2017-10-09,2694728,45128
2017-10-10,481796,5382
2017-10-12,2021206,24566
2017-10-13,1946257,37052
2017-10-14,817149,18048
2017-10-15,497524,8283
2017-10-16,1620483,29557
2017-10-17,191757,6518
2017-11-02,1098445,16244
2017-11-04,83974,1781
2017-11-05,3616,6
2017-11-06,213406,3015
2017-11-07,686212,8454
2017-11-08,340225,2421
2017-11-09,69751,15927
2017-11-10,849562,11223
2017-11-11,1124064,14089
2017-11-12,1124213,17079
2017-11-14,934021,9823
2017-11-16,744542,16393
2017-11-19,759012,12752
2017-11-20,1619566,35022
2017-11-21,1075214,15263
2017-11-22,195551,22714
2017-11-23,1272365,56274
2017-11-25,1113530,80064
2017-11-26,64861,687
2017-11-27,155765,5961
2017-12-03,658757,10914
2017-12-04,1140514,28931
2017-12-05,1020223,88963
2017-12-07,746661,12995
2017-12-09,2017495,254078
2017-12-10,1301185,158168
2017-12-11,2532872,52801
2017-12-12,1684546,56448
2017-12-13,32011,461
2017-12-14,628739,11087
2017-12-20,16231,90
2017-12-21,6723,61
2017-12-22,3713477,91902
2017-12-23,47204,220
2017-12-24,2089571,34781
2017-12-25,298100,1452
2017-12-26,39394,310
2017-12-27,2593216,106302
2017-12-28,1038613,55887
2017-12-30,5421651,81233
2018-01-01,799909,9362
2018-01-02,8700134,450491
2018-01-03,5597154,133294
2018-01-04,13143349,1731079
2018-01-05,9864521,490358
2018-01-06,16366085,3305422
2018-01-07,3800529,449661
2018-01-08,1398290,34629
2018-01-10,956947,14619
2018-01-11,4923999,176165
2018-01-12,1317993,36295
2018-01-17,15094390,1266450
2018-01-18,11152845,311915
2018-01-20,10416520,399734
2018-01-21,11456566,195475
2018-01-22,4922875,105091
2018-01-23,1734833,16999
2018-01-29,7938015,146237
2018-01-30,1339675,146703
2018-02-13,18730543,796482
2018-02-14,1436819,42684
2018-02-15,17918328,622296
2018-02-16,20651312,780745
2018-02-17,29669701,1256705
2018-02-18,11228926,631585
2018-02-20,10608788,1136824
2018-02-22,6338872,309618
2018-02-26,5133915,96054
2018-02-27,8748826,173177
2018-02-28,5371941,113590
2018-03-01,8303159,165427
2018-03-02,5096405,62685
2018-03-08,5266714,74335
2018-03-09,4854835,92209
2018-03-10,8154888,205137
2018-03-11,9311894,168771
2018-03-12,3945201,39595
2018-03-14,22534250,502444
